,horizon,mse,rmse,mae,mape,mdape,coverage
1081,53 days 09:00:00.000000000,1626040.1358644739,1275.1627879860962,1037.2943978974517,0.07468271237361274,0.06545428671668853,0.778277715285589
1082,53 days 10:00:00.000000000,1626989.3351105987,1275.5349211646849,1037.1868460122694,0.07466018775688478,0.06544587865303932,0.7776576947489405
1083,53 days 11:00:00.000000000,1627512.2147872383,1275.7398695608906,1036.860667571599,0.07460720056479463,0.0654071489903614,0.7769028871391083
1084,53 days 12:00:00.000000000,1629337.2188548013,1276.454941960272,1036.5849627105495,0.07453586048938539,0.06536153813369466,0.7760279965004373
1085,53 days 13:00:00.000000000,1633477.8625723247,1278.0758438263063,1037.4163537140716,0.07459403403940736,0.06531729298995152,0.774938220441742
1086,53 days 14:00:00.000000000,1638764.9007062926,1280.1425314027701,1038.8788952314942,0.07470371243318477,0.06531729298995152,0.773967142996014
1087,53 days 15:00:00.000000000,1645736.9743283691,1282.8628041721254,1040.3698444335575,0.07481916477602993,0.06537263461009149,0.7726117568637255
1088,53 days 16:00:00.000000000,1655249.2872672628,1286.5649176264922,1043.0344225893439,0.075005335168908,0.0654071489903614,0.7716878527438972
1089,53 days 17:00:00.000000000,1665018.9867695735,1290.3561472591873,1045.5931852032456,0.07518067283044891,0.06545428671668853,0.7714035745531808
1090,53 days 18:00:00.000000000,1670908.2586638322,1292.6361663917005,1046.543330488205,0.07525400520076589,0.06544587865303932,0.7719243427904852
1091,53 days 19:00:00.000000000,1680166.447349878,1296.2123465504708,1048.7086379304515,0.07541328212433164,0.06554426729177777,0.77162284538994
1092,53 days 20:00:00.000000000,1688436.2075812423,1299.3984021774238,1050.5385014260073,0.07555538556364344,0.06557349139691902,0.7711119443402912
1093,53 days 21:00:00.000000000,1694434.733297228,1301.7045491574606,1052.5040410342401,0.0757786493061831,0.06585079067693131,0.768737241178186
1094,53 days 22:00:00.000000000,1701074.9490290564,1304.252640031469,1054.3584141320744,0.07591666389300436,0.06605411927080576,0.7674249052201811
1095,53 days 23:00:00.000000000,1708338.7976679262,1307.034352137665,1056.930532937658,0.07608432522392856,0.06620711894290687,0.7656542932133483
1096,54 days 00:00:00.000000000,1712331.4636239186,1308.560836806573,1058.9521335428233,0.07621782007790659,0.06639664439030504,0.7650841890377736
1097,54 days 01:00:00.000000000,1719442.417041473,1311.2751111195062,1062.0593764186658,0.07642010679104488,0.06666685240834955,0.7636874338076152
1098,54 days 02:00:00.000000000,1724014.5901997166,1313.0173609666083,1064.1529632872328,0.0765477017733232,0.06684050226351052,0.7628213140024165
1099,54 days 03:00:00.000000000,1728150.1764572256,1314.5912583222305,1065.987676578823,0.07666925823618538,0.06686677799326585,0.7623728406498205
1100,54 days 04:00:00.000000000,1732144.976170431,1316.1097887981955,1067.5640913070642,0.07679493307911711,0.06695120078147435,0.761926817971283
1101,54 days 05:00:00.000000000,1734013.5383520564,1316.8194782702967,1068.2578502732129,0.07686563403369974,0.06698956599853043,0.7616547931508558
